Date,Open,High,Low,Close,Adj Close,Volume
2019-10-09,263.440002,264.239990,262.480011,263.429993,259.700073,2020800
2019-10-10,263.230011,266.029999,263.109985,265.010010,261.257751,2100800
2019-10-11,267.769989,270.140015,267.619995,268.160004,264.363190,4177000
2019-10-14,267.600006,268.730011,267.440002,267.859985,264.067413,1194600
2019-10-15,269.119995,271.190002,268.859985,270.220001,266.393982,3168900
2019-10-16,269.790009,270.559998,269.399994,270.079987,266.255920,2415000
2019-10-17,270.670013,271.149994,269.709991,270.380005,266.551727,1883400
2019-10-18,269.609985,275.000000,267.619995,267.640015,264.019470,2232400
2019-10-21,268.059998,268.369995,267.399994,268.209991,264.581757,1379600
2019-10-22,268.480011,269.380005,267.760010,267.820007,264.197021,2534300
2019-10-23,268.119995,268.899994,267.359985,268.239990,264.611328,1693400
2019-10-24,269.019989,269.119995,267.059998,267.980011,264.354858,1843700
2019-10-25,267.720001,270.119995,267.630005,269.600006,265.952942,1825200
2019-10-28,270.779999,271.579987,270.190002,270.809998,267.146545,1809600
2019-10-29,270.470001,271.600006,270.309998,270.869995,267.205780,2884600
2019-10-30,270.869995,271.989990,269.880005,271.739990,268.064026,2144700
2019-10-31,271.570007,271.660004,269.070007,270.480011,266.821045,3021000
2019-11-01,271.859985,273.339996,271.690002,273.339996,269.642334,2989400
2019-11-04,274.730011,275.049988,273.959991,274.549988,270.835999,1543200
2019-11-05,275.079987,275.510010,274.429993,274.809998,271.092468,1706300
2019-11-06,275.019989,275.209991,273.989990,274.799988,271.082581,1605900
2019-11-07,276.559998,278.049988,276.559998,277.049988,273.302185,3023800
2019-11-08,277.160004,277.239990,276.049988,277.070007,273.321930,1512000
2019-11-11,275.790009,277.410004,275.390015,277.160004,273.410675,1729000
2019-11-12,277.429993,277.989990,276.640015,277.290009,273.538910,1694000
2019-11-13,276.339996,278.399994,276.170013,278.049988,274.288635,2595600
2019-11-14,277.880005,278.320007,277.089996,278.230011,274.466248,1582600
2019-11-15,278.869995,279.950012,278.500000,279.940002,276.664185,2363300
2019-11-18,279.760010,280.359985,279.609985,280.269989,276.990326,1790500
2019-11-19,280.829987,280.839996,278.869995,279.329987,276.061310,1928300
2019-11-20,278.640015,278.899994,276.720001,278.200012,274.944550,2463600
2019-11-21,278.329987,278.420013,277.160004,277.720001,274.470154,1382100
2019-11-22,278.380005,279.029999,277.790009,278.859985,275.596771,1419300
2019-11-25,279.679993,280.809998,279.640015,280.799988,277.514069,1811100
2019-11-26,281.070007,281.579987,280.609985,281.359985,278.067535,1300300
2019-11-27,281.609985,281.910004,281.010010,281.910004,278.611145,1786300
2019-11-29,281.299988,281.570007,280.839996,280.950012,277.662384,811900
2019-12-02,281.450012,281.489990,278.200012,278.200012,274.944550,2544300
2019-12-03,275.429993,275.640015,273.619995,275.510010,272.286011,3834300
2019-12-04,277.000000,277.760010,276.609985,277.049988,273.808014,1928500
2019-12-05,277.859985,277.859985,276.149994,277.359985,274.114349,1453000
2019-12-06,279.450012,280.940002,279.390015,280.700012,277.415253,2686400
2019-12-09,280.440002,280.720001,279.700012,279.760010,276.486267,1206100
2019-12-10,279.690002,280.140015,278.630005,279.459991,276.189789,1406900
2019-12-11,279.130005,279.899994,278.649994,279.720001,276.446777,1921700
2019-12-12,279.519989,282.950012,279.239990,281.950012,278.650696,3768600
2019-12-13,281.929993,283.609985,281.000000,282.109985,278.808777,3065500
2019-12-16,282.929993,284.109985,282.929993,283.070007,279.757568,2117200
2019-12-17,283.190002,284.000000,282.910004,283.399994,280.083649,1697900
2019-12-18,283.790009,283.910004,283.149994,283.209991,279.895935,1592600
2019-12-19,283.649994,284.540009,283.570007,284.459991,281.131287,1815100
2019-12-20,284.760010,285.059998,284.320007,284.459991,281.989746,3637000
2019-12-23,285.339996,285.660004,285.149994,285.329987,282.852203,2564700
2019-12-24,285.630005,285.630005,284.869995,285.010010,282.535004,611600
2019-12-26,285.230011,286.100006,285.200012,286.059998,283.575867,931600
2019-12-27,286.829987,286.850006,285.899994,286.329987,283.843536,1930200
2019-12-30,286.339996,286.410004,284.119995,284.529999,282.059174,2552900
2019-12-31,283.910004,285.309998,283.559998,285.100006,282.624176,1341300
2020-01-02,286.440002,288.630005,286.149994,288.619995,286.113617,3865500
2020-01-03,285.339996,287.109985,285.179993,286.320007,283.833618,3296700
2020-01-06,284.290009,287.029999,284.160004,286.980011,284.487854,1645100
2020-01-07,286.299988,286.790009,285.579987,285.739990,283.258667,1413000
2020-01-08,285.320007,288.670013,285.079987,287.399994,284.904205,3136700
2020-01-09,288.950012,289.839996,288.429993,289.559998,287.045441,1783100
2020-01-10,289.959991,290.040009,287.839996,288.239990,285.736908,2989600
2020-01-13,288.790009,289.079987,288.140015,289.019989,286.510162,1463300
2020-01-14,288.869995,290.489990,288.720001,289.220001,286.708435,2198500
2020-01-15,289.010010,291.239990,288.950012,290.350006,287.828613,2195100
2020-01-16,291.630005,292.970001,291.470001,292.929993,290.386169,2522000
2020-01-17,293.519989,293.609985,292.790009,293.269989,290.860260,2147400
2020-01-21,292.440002,293.279999,291.369995,291.829987,289.432129,4476900
2020-01-22,292.500000,293.070007,291.579987,291.809998,289.412292,2077000
2020-01-23,290.750000,291.859985,289.600006,291.540009,289.144501,1872600
2020-01-24,292.540009,292.769989,288.339996,289.799988,287.418823,3612500
2020-01-27,284.850006,286.649994,283.859985,285.359985,283.015289,4129100
2020-01-28,286.220001,288.190002,285.750000,287.290009,284.929413,2999200
2020-01-29,288.989990,289.279999,287.209991,287.290009,284.929413,2126300
2020-01-30,285.670013,288.769989,284.850006,288.540009,286.169159,3433200
2020-01-31,286.959991,287.230011,281.609985,282.420013,280.099457,4885700
2020-02-03,283.690002,286.260010,283.500000,283.980011,281.646606,3169300
2020-02-04,287.679993,289.000000,287.420013,288.040009,285.673248,3004100
2020-02-05,290.760010,293.040009,289.950012,292.859985,290.453613,3305900
2020-02-06,294.019989,294.140015,292.450012,293.739990,291.326385,2857200
2020-02-07,292.760010,292.809998,290.660004,291.190002,288.797333,3839300
2020-02-10,290.200012,292.959991,290.160004,292.950012,290.542908,2877700
2020-02-11,294.350006,294.420013,292.279999,292.940002,290.532990,1994500
2020-02-12,294.630005,295.869995,294.529999,295.720001,293.290161,2804400
2020-02-13,294.390015,295.839996,293.920013,294.820007,292.397583,2638000
2020-02-14,294.970001,295.130005,293.399994,294.540009,292.119843,1861700
2020-02-18,293.149994,293.880005,291.760010,292.950012,290.542908,2397800
2020-02-19,293.769989,294.720001,293.390015,294.100006,291.683472,1474400
2020-02-20,293.559998,294.290009,290.170013,292.779999,290.374298,3493900
2020-02-21,290.799988,291.049988,288.750000,289.739990,288.150574,3271800
2020-02-24,280.329987,282.779999,278.970001,279.559998,278.026428,6595200
2020-02-25,280.799988,281.359985,269.880005,270.700012,269.215057,9903700
2020-02-26,271.989990,275.309998,268.829987,269.739990,268.260284,7477600
2020-02-27,264.859985,267.730011,257.390015,257.500000,256.087433,11146500
2020-02-28,250.520004,255.119995,247.000000,254.559998,253.163559,17555100
2020-03-02,256.709991,267.250000,254.059998,267.029999,265.565155,8544500
2020-03-03,267.799988,271.019989,257.179993,259.299988,257.877533,11482600
2020-03-04,265.450012,271.109985,262.959991,270.890015,269.403992,5408100
2020-03-05,264.269989,266.529999,259.559998,261.459991,260.025726,5872900
2020-03-06,253.669998,260.100006,252.429993,258.850006,257.430023,7372400
2020-03-09,241.500000,247.070007,237.169998,238.720001,237.410461,10406900
2020-03-10,247.289993,250.539993,237.089996,250.470001,249.096008,9407100
2020-03-11,243.539993,244.910004,233.600006,235.839996,234.546249,7687200
2020-03-12,220.500000,229.000000,211.830002,212.110001,210.946442,17322600
2020-03-13,225.649994,232.479996,213.289993,232.110001,230.836716,13676000
2020-03-16,206.500000,218.309998,201.509995,202.490005,201.379211,12407000
2020-03-17,207.009995,214.470001,199.350006,213.470001,212.298981,16128100
2020-03-18,199.070007,205.440002,189.669998,199.389999,198.296204,13369800
2020-03-19,198.369995,204.979996,192.320007,201.309998,200.205673,13532100
2020-03-20,203.289993,205.289993,191.000000,191.899994,191.419724,12206000
2020-03-23,190.130005,191.199997,182.100006,186.130005,185.664185,15712300
2020-03-24,196.270004,207.210007,196.210007,206.639999,206.122833,14123600
2020-03-25,210.570007,220.169998,205.320007,212.059998,211.529266,17556100
2020-03-26,214.429993,225.869995,214.009995,225.070007,224.506714,16071900
2020-03-27,217.610001,223.259995,214.570007,216.350006,215.808533,10545600
2020-03-30,217.360001,223.720001,215.100006,223.100006,222.541641,7691800
2020-03-31,221.949997,224.750000,218.440002,219.229996,218.681320,8426600
2020-04-01,210.649994,214.779999,207.770004,209.380005,208.855988,8570300
